Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
bea12,bärbär,urgh,sbuff,pff,ого-го,verlue,comolooyes,urgh,chacha,urrrgh,よいしょ,으랏차차,唷咻,唷咻
bea13,brrroho,whiskers,andale,snorhaar,усы мои,poilodos,bigotre,whiskers,ciao,bigotre,オッホン,오홍홍,咳咳,咳咳
bea14,gruaaa,strudel,bailar,strudel,штрудель,achtung,ricitos,strudel,achtung,achurf,オパー,라저,Over,Over
bea15,lollipop,sundae,sucré,lolly,сладенько,berlingot,tutifruti,sundae,berlingot,tutifruti,ぺろ,낼름,舔舔,舔舔
brd00,hiiiijjj,heeeeeyy,cipinci,heeeeeyy,хей-хей,maaaaaais,heeey,heeeeeyy,maaaaaais,eeey,でおます,그쵸,呢喃,呢喃
brd01,ladida,la-di-da,yuppidù,lalala,ля-ля-ля,ta-di-da,picatoste,la-di-da,ta-di-da,larará,さ,글쎄,喳,喳
brd02,tschurp,chuurp,ciripì,tsjiiirp,чик-чирик,muf-muf,piu-piu,chuurp,muf-muf,piu-piu,でシ,이어라,如斯,如斯
brd03,zwirtschi,cheepers,ciiip,fwieeet,тю-вить,coolos,tirití,cheepers,coolos,tirití,ッピ,크,嘰,叽
brd04,zischhh,bzzert,bzzert,tjulp,бзе-е-ерт,bouerk,pío-pío,bzzert,bouerk,pío-pío,だニョ,삼바,諾諾,诺诺
brd05,tschikadii,chickadee,cocoricò,tjiep tjiep,чики-чик,puic puic,chupiyá,chickadee,puic puic,chupiyá,けどー,허나,山雀,山雀
brd06,"oh, ja",aye aye,cipissi,yep yep,чиф-чиф,cornichon,avechucho,aye aye,cornichon,piuc-piuc,ってか,오예,貫徹,贯彻
brd08,twitiriti,tweedledee,firulì,kwetter,тви-тви,loulou,arrurrú,tweedledee,loulou,arrurrú,キョン,핑그르르,臉紅,脸红
brd09,astrein,ace,blablo,hopla,фьють,ma caille,figura,ace,ma caille,figura,でヤス,겁나,是也,是也
brd11,tirilü,ya feel,ciiipito,snappie,чуррп,asticô,pelusilla,ya feel,asticô,chiurp,っつーの,그거야,話說,话说
brd15,mauser,cacaw,lorito,kakauw,кар-ко,yaaaah,picopico,cacaw,yaaaah,pío,カァー,까아악,嘎,嘎
brd16,piepiep,zut alors,pio pio,zut alors,фу ты,ploc ploc,chapó,zut alors,why not,chapó,チェケラ,체키라웃,唷唷唷,唷唷唷
brd17,flatter,crunch,sprint,wasbordje,тук-тук,poupousse,muy fuerte,crunch,poupousse,cachirp,ブン,츠츠츠,噗噗,噗噗
brd18,birtz,like whoa,adiós,wreed,так-так,piaaaaf,gorrión,like whoa,piaaaaf,chirpi,だチュン,섭섭,啁啁,啁啁
bul00,brrruzzl,macmoo,macmoo,denderund,макму-у-у,meuh meuh,cuernos,macmoo,meuh meuh,bufff,ふふ,후후,呼呼,呼呼
bul01,oléolé,chaps,oléolé,cowboy,ковбой,crac,olé,chaps,olé,olé,さすがに,디용,了不起,了不起
bul03,muhuhu,mrooooo,ciaumù,boe-jend,му-у,meuh quoi,olé y olé,mrooooo,meuh quoi,olé y olé,だなっす,알것소,奔馳,奔驰
bul05,hhmmuuuhh,moocher,muuusica,moehoe,бычок,vachte,muooola,moocher,mes cornes,muuuchi,だっぺ,워메에,是唄,是呗
bul07,schnoff,stubble,oooh issa,stoppel,раз-два,mon cou,chacho,stubble,bétail,chacho,ジョリッ,땅땅,鬍渣,胡渣
bul08,grumpf,cud,trullalà,kauw,полундра,moumoul,muuubién,cud,moumoul,brufff,モイ,뭐임,哞,哞
cat00,psssps,pthhpth,baffo,poekie,кх-кх-кх,pfioupf,zarpas,pthhpth,pfioupf,fishfish,ネコ,고양이,貓貓,猫猫
cat01,muh,mew,miao,mieuw,мяу-мяу,meeeeeh,misi-misi,mew,meeeeeh,misi-misi,ニャー,야～옹,喵,喵
cat02,flöt,silly,tontolon,gekkie,рыбка,flûte,miaaau,silly,flûte,miaaau,チェキ,헤이,看看,看看
cat03,schnurr,purrr,purrr,prrrrrr,мур-мяу,rrrrrrrrr,raspas,purrr,rrrrrrrrr,michimiau,なんやん,머냐,什麼,什么
cat04,miausi,kitty cat,mieaoo,poesjemauw,кисуля,chti minou,galletita,kitty cat,chti minou,michifiú,だニ,뭐라지요,醬醬,酱酱
cat05,grraul,reeeeOWR,miiiiaOU,sinas,фруктик,roooaR,mandarinas,reeeeOWR,roooaR,mirriau,みかん,귤귤,蜜柑,蜜柑
cat06,mrmpft,mrmpht,maramao,plof,отдыхаем,blébléblé,arenque,mrmpht,mimine,gruuuah,だのら,노라줘,晃晃,晃晃
cat07,kätzchen,kitten,micetto,kitten,кис-кис,chaton,tontaina,kitten,chaton,michimiu,ふんっ,냠,嗯嗯,嗯嗯
cat08,schluchz,myawn,myawn,geeuweldig,мяу-а-а-а,miou,grrrroou,myawn,miou,grrrroou,な,그치,吶,呐
cat09,miiiau,meooo-OH,meooo-OH,mie-auw,мя-я-яу,mia-ouh,imikimono,meooo-OH,mia-ouh,imikimono,ぃよぉー,꺄,咦唷,咦唷
cat10,maunz,psst,psst,psst,шш,psst,soldado,psst,psst,psst,とぉっ,얍,喝,喝
cat11,mrrrrrrr,pffffft,miaù,pffffft,фи-фи,pffffft,ronrón,pffffft,pffffft,ronrón,ウフーン,우,嗯哼,嗯哼
cat12,mrriau,me-WOW,meOW,mi-WAUW,мя-ого,mi-AOUUH,animiaul,me-WOW,mi-AOUUH,animiaul,にゃは,삐뽀,喵吼,喵吼
cat13,fauchch,GAAHHH,GAAHHH,BAH,фу-у-у,miaoum,marramiau,GAAHHH,miaoum,marramiau,ダァーッ,아뵤,打啊,打啊
cat14,miezmiez,mrowrr,fusolo,giechel,мр-мр-мр,miaaaouh,cascabel,mrowrr,miaaaouh,miaul,フフ,자갸,古古,古古
cat15,fauch,me-YOWZA,mi-IAO,miauw moe,мя-я-яоза,mistigri,miooou,me-YOWZA,mistigri,miooou,ナックル,쳇,關節,切
cat16,prrrrr,mweee,pffffft,mi-jippie,мяуи-и-и,miou-mi,michifú,mweee,miou-mi,michifú,にゃん,냥냥,喵嗯,喵嗯
cat17,mauzi,mimimi,meeeow,mimimi,ми-ми-ми,chatounet,miauito,mimimi,chatounet,miauito,ね,우앙,哪,哪
cat18,kratz,bonbon,purrrr,zuurtje,конфетка,ron-ron,purrrr,bonbon,ron-ron,purrrr,あのね,퐁퐁,娜個,娜个
cat19,mi-miau,me meow,miao miao,sfinx,ми-мяу,mi-i-i-ouh,marramius,me meow,mi-i-i-ouh,marramius,クフフ,파트라,尼羅,尼罗
cat20,katzaaa,mush,ron ron,robijn,шмяк,alatienne,cachusco,mush,mouah,cachusco,とかナ,그러거나,之類的,之类的
cat21,zischel,purrty,fffz,prrrachtig,хор-р-рошо,miaouille,salmonete,purrty,miaouille,purrrs,じゃね,휘리릭,掰掰,掰掰
cat23,weeßte,crisp,rrricooo,netjes,стильненько,panache,atilda,crisp,panache,atilda,キリッ,우쭐,嚴肅,严肃
cbr00,früchtchen,peach,pepè,perzik,персик,prune,cielito,peach,prune,melí-melá,キュン,두근,怦怦,怦怦
cbr01,darling,honey,miele,zoeterd,лапушка,chouchou,caramelito,honey,chouchou,mielmiel,だベア,저기요,熊仔,熊仔
cbr02,bärli,li'l bear,babà,beertje,медвежонок,nounours,bolita,li'l bear,nounours,pruah,モン,몽,萌,萌
cbr03,griesgram,golly,pulcino,pudding,карапуз,louloute,rebollos,golly,louloute,bruah,んもう,아이참,真是的,真是的
cbr04,okeydokey,grah grah,oki-doki,okidoki,гррр,grih grih,mola,grah grah,grih grih,graaau,のこころ,나는나야,精神,精神
cbr05,brummm,stuffin',ohilà,pluche,плюш-плюш,ou bien,peluche,stuffin',ou bien,paguahhh,なのれす,그런거죠,玩玩,玩玩
cbr06,nastrovje,nyet,nyet,njet,ну не-е-ет,niet,nyet,nyet,niet,nyet,やんけ,참말로,唉唷,唉唷
cbr07,liebelein,malarkey,grizzel,spruit,товарищ,canaille,pelusita,malarkey,fait que,heee,ですばい,샐리,罷了,罢了
cbr09,honigtopf,sweet pea,fagiolino,honingkelkje,милашка,trognon,panalito,sweet pea,trognon,panipof,マグ,오잉,馬克杯,马克杯
cbr10,tralala,tralala,trallalà,tralala,тра-ля-ля,tralala,tralará,tralala,tralala,tralará,なんてね,어쩜이래,開玩笑的,开玩笑的
cbr13,schönheit,rainbow,grrande,wolkje,радуга-дуга,cacou,cielo,rainbow,cacou,lurilá,アルネ,있죠,有耶,有耶
cbr14,flüster,bud,purrrimba,bloempje,цветочек,linou,pitiminí,bud,linou,pitiminí,チャ,띵호아,佳佳,佳佳
cbr15,baaambus,rookie,brupp,bamboe,бамбук,pla-pla,ahivá,rookie,pla-pla,ahivá,だバンブ,부끄,竹子,竹子
cbr16,mwuuu,cubby,babalù,welpje,берлога,dodododu,apurri,cubby,dodododu,apurri,いっそ,아니그냥,算了,算了
cbr17,bossi,ya heard,ohè,weet je,понимаешь,grifouille,tararí,ya heard,grifouille,tararí,だってサ,차라리,竟然說,竟然说
cbr18,pompudding,pompom,pom pom,pommetje,помпончик,pom pom,pudin,pompom,pom pom,pudin,ポムッ,폼폼,布丁,布丁
cbr19,träum,myohmy,misu misu,nee maar,охохонюшки,oh là là,qué cosas,myohmy,oh là là,uyuyuy,あらら,어머머,哎呀,哎呀
chn00,buaa-ka-ka,buh-kay,cucù,toktok,ко-кей,bouyaka,caracol,buh-kay,bouyaka,bukááá,だコケ,키득,咕咕,咕咕
chn01,putputtt,uh-hoo,uh-hoo,eitje,о-ко-ко,oh oh,cocorico,uh-hoo,oh oh,cocorico,ウヒョー,우힛,好棒,好棒
chn02,duudle-du,doodle-duh,du du du,kukelejus,кукареку,di di dou,kikirikí,doodle-duh,di di dou,kikirikí,だヨ,짜잔,很優,很优
chn05,biiika,beaker,sbecsbec,snavel,клювик,cô-cômment,piquito,beaker,cô-cômment,kikiú,のよぉ,그랬대요,是唷,是唷
chn09,bokbok,chicklet,coccoricò,kuiken,модненько,côôôôt,cucurrús,chicklet,côôôôt,cucurrús,ハレルヤ,도레미,哈雷路亞,哈雷路亚
chn10,hühnermist,chicky-poo,zampoli,kippetje,щип-щип,galine,tesorito,chicky-poo,galine,corocó,どうだい,그게어때,泰泰,泰泰
chn11,knusprig,cluckling,uovole,nestei,короко,ra-ta-tak,mazorca,cluckling,ra-ta-tak,cocorocó,せいッ,하앗,等待,等待
chn12,eieiei,cluckadoo,ovodè,kakel,ки-ки-ки,mon œuf,pitas,cluckadoo,mon œuf,kiriquicó,ケッコー,오싹오싹,咯咯,咯咯
chn13,gockgock,no doubt,quiriqui,eiteraard,это точно,pôt pôt,kirrí,no doubt,chicken,kirrí,コッケイ,깜깜,骨雞,骨鸡
cow00,muuhna,how-now,truuulà,koebeest,му-му,allez,muuuu,how-now,oui oui,muuuu,だモー,음메,牟,牟
cow01,dingdong,pushy,sì sì sì,boelala,теленок,choupette,cuernitos,pushy,choupette,muamuuu,ミルミル,우유우유,牛奶,牛奶
cow06,muuuhi,hoof hoo,mu muuu,boehoe,до-ре-му,meuh nan,mu-mu,hoof hoo,meuh nan,mu-mu,うふ,에헤,微笑,微笑
cow07,joggi,moolah,moumou,loei,муля,pistouille,merengue,moolah,merengue,mumumu,セボーン,메르시,這樣很好,这样很好
crd00,ahhhrg,it'sa me,proprio,it⁠'⁠sa me,это я,moi moi,ñam-ñam,it'sa me,moi moi,ñam-ñam,だワニ,나아거,鱷泥,鳄泥
crd01,graaach,graaagh,graaag,graaach,гра-а-а,graaagh,lagartija,graaagh,graaagh,muamú,どすえ,얘야,鱷魚皮,鳄鱼皮
crd02,schmatzi,munchie,gnammi,smikkel,кусь,mariolle,crococroco,munchie,miam miam,crococroco,だぴょん,만세,跳,跳
crd04,happ,gronk,chomp,gronk,щелк,clap,chomp,gronk,clap,chomp,プシュー,처얼썩,噗咻,噗咻
crd05,yoyoyo,spaaace,blipblop,kosmos,космос,parsec,alien,spaaace,parsec,blipblop,パヨマケ,삐리리,吼吼,吼吼
crd06,schnapp,hoo-rah,ciaf,ingerukt,ура-а-а,repos,capón,hoo-rah,repos,smack,カサコソ,부스럭,唰唰,唰唰
crd07,zähni,snacky,désolée,snackje,перекус,croquignou,corazón,snacky,croc-croc,smuack,ワニャン,아거얌,鱷莉,鳄莉
crd08,hömpf,burrrn,tic tac,puf,огонь,ducroc,quemarrr,burrrn,ducroc,ñami,えーと,띠용띠용,然後,然后
der00,bimbam,dearie,vule vu,do ree mi,олешек,toudoux,puchu,dearie,toudoux,puchu,でしか,파샵파샵,小鹿,小鹿
der01,weihweih,kablang,hop hop,gaffel,скок-скок,têtedebois,galilla,kablang,têtedebois,caplúúú,ナラね,슉슉,梅花,梅花
der02,sproing,pronk,arriba,gazellig,прыг-прыг,wapiti,bambín,pronk,wapiti,bambín,たしかに,슴사사,鹿營,鹿营
der03,röööhr,gruff,uauwaii,burl,забияка,nunul,aquesí,gruff,ouain,aquesí,しかしな,아비옹,福鹿壽,福鹿寿
der04,tripptripp,whatevs,babam,nou ja,как-то так,pan,rumiante,whatevs,pan,uatever,まいっか,됐고,隨便啦,随便啦
der05,bocko,badoom,sdleng,bokje,бубух,jaunisse,trisca,badoom,you bet,trisca,がぜん,엣헴,變了,变了
der06,zick,precious,cervilà,meid,зазноба,rosace,braaaam,precious,frambou,braaaam,なんしか,핑크크,西卡,西卡
der07,knospel,saltlick,gnam gnam,zoutsteen,соль-соль,feufeuille,babum,saltlick,feufeuille,babum,おろおろ,우왕,怎麼辦,怎么办
der08,kitz,no doy,mamy,joh,еще бы,bichouchou,braaavo,no doy,bichouchou,nonuá,でしょ,라니까,是吧,是吧
der09,hirschl,chow down,relax,schorsie,ем мох,breuh,ñume-ñume,chow down,breuh,ñume-ñume,しかじか,뚜비뚜바,鹿鹿,鹿鹿
der10,denkpink,pound cake,melodì,melodietje,бисквит,bibiche,melomelo,pound cake,bibiche,melomelo,メロメロ,하트하트,喜喜,喜喜
der11,okido,okaaay,bramì,okééé,окей,bramaka,oni,okaaay,bramaka,oni,とにかく,아무튼,總芝,总芝
dog00,wuff,woof,wuf wuf,woef,тяв,ouaf,guau-guau,woof,ouaf,guau-guau,ワン,왈왈,汪,汪
dog01,GRRUFF,ROOOOOWF,ROOOOOF,BROEEEF,ррр-гав,WROOOOUF,gruf-gruf,ROOOOOWF,WROOOOUF,gruf-gruf,ノン,아니,儂,侬
dog02,rrr-awau,rrr-owch,ossorrr,www-⁠au,ррр-ой-ой,graaaouch,guuuuAY,rrr-owch,graaaouch,guuuuf,らしいよ,그렇대,大概,大概
dog03,kläff,dawg,brrranco,makker,пр-риятяв,clair,guau,dawg,clair,guau,だイヌ,멍멍,狗狗,狗狗
dog04,hechel,yip yip,yip yip,snuf snuf,тяв-тяв,yip yip,yip yip,yip yip,yip yip,yip yip,ネッ,옙,對吧,对吧
dog05,frechi,ruffian,ronfietto,keffer,тяв-ряв,brute,ruf-ruf,ruffian,brute,ruf-ruf,フンッ,흥,屋屋,屋屋
dog06,wafff,wuh,wuff,waf,ау-у,ouh,huesitos,wuh,ouh,guuu-ah,バウ,컹컹,咆,咆
dog07,wauwau,bow-WOW,bau WOW,hazewind,тяв-ого,mon chou,guaay,bow-WOW,mon chou,guaucito,だよね,그렇죠,對不對,对不对
dog08,nuffnuff,arfer,bubabù,kwispel,гав-гав,woufi,fresita,arfer,woufi,can,プリリン,초롱초롱,琳琳,琳琳
dog09,hurra,yippee,yuuuppii,jippie,ур-ра,youp,chupi,yippee,youpi,reguau,ワンツー,달코미,一二,一二
dog10,bingo,bingo,bingo,bingo,динго,mon chaton,huesín,bingo,mon chaton,gufi-guf,グー,쫀득,賓果,宾果
dog11,gnüff,goshers,goleador,gossie,ай-яй-яй,nondinche,pichichi,goshers,nondinche,golgol,ったく,참나,欸,唉
dog14,bellbell,woo woof,arfidenti,woewoef,ау-у-гав,babines,frusky,woo woof,babines,frusky,モグ,우물우물,摘,摘
dog15,tusch,non,snif snif,mais non,ау-уи,miaouf,colmillos,non,miaouf,nenonó,なんじゃ,하옵소서,什麼字,什么字
dog16,winsel,alrighty,bauuau,oké dan,пор-рядок,croquettes,tirirí,alrighty,croquettes,tirirí,ではでは,그럼그럼,那麼那麼,那么那么
dog17,wedel,what what,arf arf,wat jij,что-что,niniche,guauchi,what what,niniche,guauchi,だってネ,그냥저냥,聽說娜,听说娜
dog18,heffheff,baa baa baa,guau guau,schapie,бр-р-разер,pedigree,tufos,baa baa baa,pedigree,grrruau,ワンダー,안보여,汪想想,汪想想
duk00,quako,quacko,quaquo,kwaker,кряко,choupichou,cuaco,quacko,choupichou,cuaco,だね,탕,蛋是啊,蛋是啊
duk01,tschiiirp,bleeeeeck,squack,kèèèk,кряк,beeeuuuurk,uac-uac,bleeeeeck,beeeuuuurk,uac-uac,でヤンス,그래유,鴨鴨,鸭鸭
duk02,quaak,quackle,quackquack,kwakel,кряки-кряк,coin coin,cuaqui,quackle,coin coin,cuaqui,メソメソ,아잉,嗚嗚,呜呜
duk03,entchen,duckling,paperotto,pulletje,желторотик,canardou,perla,duckling,canardou,plumi-piú,ふぅ,우아,嘆,叹
duk04,juhuu,woowoo,quiproquò,joehoe,кря-кря,youhou,miguita,woowoo,youhou,yiuju,マル,우우,毬毬,球球
duk05,krah,rah rah,quoquiquà,hup hup,крякушки,rah rah,sinplumas,rah rah,rah rah,ra-rá,だっピ,다삐,裴裴,裴裴
duk06,quackpss,quackpth,quackplà,kwaks,кряк-фи,coinpff,recuac,quackpth,coinpff,recuac,ヨネ,모모,八十八,八十八
duk07,schnatter,ducky,qua qua,eendje,утенок,poussin,cui-cuá,ducky,poussin,cui-cuá,ぎょぎょ,물물,魚魚,鱼鱼
duk08,krook,derrrr,quaccolo,ergo,кррря,derrrr,cuato,derrrr,derrrr,cuato,ね！ママ,엄마,喂！媽媽,喂！妈妈
duk09,schnabbl,quacko,quaqua,snabbel,кра-а,canard,polluelo,quacko,ben couac,cui-cuac,かもね,어쩌면,或許鴨,或许鸭
duk10,flitzer,zip zoom,zip zoom,broem,брум-брум,zak zak,zapizum,zip zoom,zak zak,zapizum,グワッ,꾸왁,呱呱,呱呱
duk11,quaa,quaa,quaaa,kwaaah,кря-а,plumeau,cuaa-cuaa,quaa,plumeau,cuaa-cuaa,ピヨ,꽥꽥,唧唧,唧唧
duk12,brotbrot,quackulous,quaquao,kwektakel,покрясающе,couac,cua-cuá,quackulous,couac,cua-cuá,なにさ,괜찮아,怎麼回事,怎么回事
duk13,pullilol,bitty,quaraquack,tomaatje,покрякушка,plouf,cuic-cuic,bitty,plouf,cuic-cuic,プチ,찌익,噗吱,噗吱
duk15,nerv,quacker,paperonz,kwebbel,не кряк ли,kwakos,picodoro,quacker,kwakos,picodoro,ぎゃくに,유～후,相反,相反
duk16,krümel,quackidee,coin coin,topper,крякульки,canénette,deverdá,quackidee,canénette,cuáquidi,そうかも,그럴지도,說不定鴨,说不定鸭
duk17,pluster,ridukulous,cua cua,smient,шу-утка,arrêêêête,verdoncho,ridukulous,arrêêêête,cuacoac,マジかよ,리얼리,說真的,说真的
elp00,tröööt,snoot,snoob,snoet,хобот,gropif,flip-flop,snoot,gropif,flip-flop,ヨン,땡,勇,勇
elp01,taraaaa,woo-oo,ullà,trompet,тру-ру,woutchou,naricita,woo-oo,woutchou,wuuulá,だゾウ,휴휴,象象,象象
elp02,truuu,villain,furfante,boef,хитрюга,vipère,mutante,villain,vipère,duuud,うりゃー,으랏차,哈啊,哈啊
elp03,tuutuuuu,tooooot,nappole,pwèèèèèp,тру-тут,tooouut,orejillas,tooooot,tooouut,fruuuf,ルン,훨훨,魯魯,鲁鲁
elp04,trampl,tootie,tootie,pwèèpie,тру-у-ти,toutie,flaqui,tootie,toutie,fiuf-fiuf,シャララ,샬랄라,莎啦啦,莎啦啦
elp05,pruuust,pal,pistaaaa,gabber,друг,fanfan,amigante,pal,fanfan,pruuuf,パオ,파오,保羅,保罗
elp06,TUUUUT,WHONK,SBONK,PWAAP,потрубим,splaf,ankagua,WHONK,splaf,ankagua,でゴンス,히힛,嘻嘻,嘻嘻
elp07,polter,li'l one,caromé,dreumes,кроха,sacrelotte,trompi,li'l one,sacrelotte,fi-fiú,ララン,트랄라,啦啷,啦啷
elp09,puuuuuh,fuzzers,barrir,pluisie,бивень,mammouth,purupú,fuzzers,mammouth,purupú,もじゃ,뿌뿌,毛毛,毛毛
elp10,huiuiui,teacup,parbleu,kopje thee,чайку-у,énoooorme,snuuuf,teacup,énoooorme,snuuuf,ホッ,따끈따끈,呼,呼
elp11,zimtroll,flap flap,ruuu ruuu,kaneel,машу ушами,pachipach,vuelalto,flap flap,pachipach,vuelalto,ロルロル,롤롤,大耳,大耳
elp12,hau,rockin',rocking,mieters,рок-н-ролл,bastringue,rocanrol,rockin',barda,rocanrol,ウス,피스,搖滾,摇滚
flg00,kröti,toady,gragragra,padje,ква,watich',mosquita,toady,zzrrbbitt,riiibit,でちゅ,그래요,雨雨,雨雨
flg01,quarrrk,zzrrbbitt,cracrà,kwwwrrrk,квак-дзынь,croac,crobit,zzrrbbitt,croac,crobit,だロボ,오버,機器,机器
flg02,quäääk,fribbit,fribbit,fffwaak,квак,breup,anquitas,fribbit,breup,fribit,クルリ,객울,咕嚕,咕噜
flg03,quak-quak,ten-hut,attacroak,geef acht,шагом-квак,taïaut,recluta,ten-hut,kaki,croooa,わい,와이,喂,喂
flg04,quak,dribbit,girin,gozer,бро,braaaa,colega,dribbit,braaaa,dribit,ゲロゲロ,개굴개굴,嘓嘓,聒聒
flg05,grupap,grr-ribbit,cracragnam,brulkikker,ква-ква,croa-croa,grroac,grr-ribbit,croa-croa,grroac,だぎゃ,므흣,山山,山山
flg06,platschi,splish,splash,plons,плюх,splufff,esplís,splish,splufff,esplís,っちゃ,그랬쪄,石頭,石头
flg07,nidip,nee-deep,fri fri,rikkekik,буль-буль,brooap,croc-croc,nee-deep,brooap,croc-croc,にゃむ,딩동댕,嚼嚼,嚼嚼
flg09,schlürpf,sluuuurp,sluuuurp,sluuuurp,жабррр,nénuf,zump,sluuuurp,nénuf,zump,だよん,흐압,蝌蚪,蝌蚪
flg10,"oui, oui",oui oui,et voilà,oui oui,уи-уи,bidule,oui oui,oui oui,bidule,oui oui,のことよ,라이라이,不客氣,不客气
flg11,hops,hopper,hophop,hophop,скок,nouille,grillito,hopper,nouille,ajop,とかー,싸우자,喝喝,喝喝
flg12,gurp,burrup,berp,blurp,квак-квак,boiiiiing,buuurp,burrup,boiiiiing,buuurp,ですだ,이리오슈,是的,是的
flg13,quaacki,croak-kay,crok-ok,inderkwaak,кво-кей,quoi,croac,croak-kay,quoi,croac,ですわよ,쪼오옥,是蛙,是蛙
flg15,tatü,aaach—,rrruuuak,kraah,ах-ох,kroah,croaqui,aaach—,kroah,croaqui,へくしっ,콜록,哈啾,哈啾
flg16,quaki,ribbette,gurghigù,kwaakette,квакет,crôazou,trebolito,ribbette,crôazou,croá-croá,ベイビィ,베이비,寶貝,宝贝
flg17,schleck,as if,umpf,ja dááág,вроде того,crapoupou,yastá,as if,ouaoua,yastá,しからば,툴툴,子曰,子曰
flg18,platsch,ya know,crabum,jeweetwel,знаешь,cuicuisse,crocró,ya know,cuicuisse,crocró,ハーン,흐응,蛤,蛤
flg19,quappi,snoozit,croac,snurkwaak,ква-храп,pustule,cruacruá,snoozit,kôwa,cruacruá,むにゃ,음냐음냐,滴咕,滴咕
goa00,määääh,la baa,beeello,la mèè,ле ме-е-е,la baa,beee-beee,la baa,la baa,beee-beee,っぺ,맞아유,唄,呗
goa01,mekker,kid,bimbi,geitje,козленок,fromage,peque,kid,fromage,bibi-bee,っしょ,그랬슈,書,书
goa02,o-o-ja-a-a,dagnaabit,sorbeeelli,nôh,такие-сякие,eh bââlèze,fenómeno,dagnaabit,bêê quoi,beerree,よのう,알아줘,唷喏,唷喏
goa04,mähmääh,bleh eh eh,bleh eh,mekker,ме-хе-хе,hé bêêê,zampoña,bleh eh eh,hé bêêê,meeeh,イェーイ,예이예,耶,耶
goa06,mecker,blih,blip,meh,ме-е-е,tu vois,veráaas-tú,blih,tu vois,verááás-tú,ザーマス,똑바로해,起立,起立
goa07,mehehe,wut,balido,watte,так,mouhai,ein,wut,mouhai,ein,はぁ～,웁스,啊,啊
goa08,heckmeck,kidders,embeeeh,bokkig,козлятки,mon moulin,muy bieeen,kidders,mon moulin,ne-eh,かな,그러게,或許芭,或许芭
goa09,schlummer,bawwww,beeewn,oefff,мемеша,bââââille,bostezzz,bawwww,bââââille,bostezzz,ふわぁ,흐아앙,輕飄,轻飘
gor00,hoheit,highness,dado,hoogheid,высочество,brutus,monigote,highness,brutus,ejeeem,ウホウホ,우갸우갸,拍胸脯,拍胸脯
